2FO7_A_A	2	4ui9Y	2	3	2FO7_A_A_merizo_01:4ui9Y01:0.56177,2FO7_A_A_merizo_02:4ui9Y03:0.73332	[{"cath": "1.25.40.10", "res": "3.600"},{"cath": "1.25.40.10", "res": "3.600"}]
2FO7_A_A	2	4ui9Y	2	0	2FO7_A_A_merizo_01:4ui9Y03:0.57736,2FO7_A_A_merizo_02:4ui9Y01:0.73953	[{"cath": "1.25.40.10", "res": "3.600"},{"cath": "1.25.40.10", "res": "3.600"}]
2HYZ_A_A	2	3mekA	3	2	2HYZ_A_A_merizo_01:3mekA04:0.68026,2HYZ_A_A_merizo_02:3mekA05:0.52488	[{"cath": "1.25.40.970", "res": "2.100"},{"cath": "1.25.40.10", "res": "2.100"}]
2HYZ_A_A	2	3mekA	3	0	2HYZ_A_A_merizo_01:3mekA05:0.63273,2HYZ_A_A_merizo_02:3mekA04:0.5747	[{"cath": "1.25.40.10", "res": "2.100"},{"cath": "1.25.40.970", "res": "2.100"}]
2HYZ_A_A	2	4ui9Y	2	3	2HYZ_A_A_merizo_01:4ui9Y01:0.83334,2HYZ_A_A_merizo_02:4ui9Y03:0.68639	[{"cath": "1.25.40.10", "res": "3.600"},{"cath": "1.25.40.10", "res": "3.600"}]
2HYZ_A_A	2	4ui9Y	2	0	2HYZ_A_A_merizo_01:4ui9Y03:0.7284,2HYZ_A_A_merizo_02:4ui9Y01:0.75265	[{"cath": "1.25.40.10", "res": "3.600"},{"cath": "1.25.40.10", "res": "3.600"}]
2JAB_A_A	2	2ii2A	2	3	2JAB_A_A_merizo_01:2ii2A03:0.58175,2JAB_A_A_merizo_02:2ii2A04:0.50812	[{"cath": "1.10.220.10", "res": "1.100"},{"cath": "1.10.220.10", "res": "1.100"}]
2JAB_A_A	2	2ii2A	2	0	2JAB_A_A_merizo_01:2ii2A04:0.52498,2JAB_A_A_merizo_02:2ii2A03:0.54842	[{"cath": "1.10.220.10", "res": "1.100"},{"cath": "1.10.220.10", "res": "1.100"}]
2L82_A_A	2	3hn7A	3	1	2L82_A_A_merizo_01:3hn7A01:0.5741,2L82_A_A_merizo_02:3hn7A03:0.53993	[{"cath": "3.40.50.720", "res": "1.650"},{"cath": "3.90.190.20", "res": "1.650"}]
2LSE_A_A	2	1mfzA	2	0	2LSE_A_A_merizo_01:1mfzA03:0.51171,2LSE_A_A_merizo_02:1mfzA02:0.54728	[{"cath": "3.40.50.720", "res": "2.800"},{"cath": "1.20.5.170", "res": "2.800"}]
2LSE_A_A	2	1s3jA	3	0	2LSE_A_A_merizo_01:1s3jA03:0.5762,2LSE_A_A_merizo_02:1s3jA01:0.54227	[{"cath": "1.10.287.100", "res": "2.250"},{"cath": "1.20.5.420", "res": "2.250"}]
2LSE_A_A	2	2hr3A	2	0	2LSE_A_A_merizo_01:2hr3A03:0.62762,2LSE_A_A_merizo_02:2hr3A01:0.53748	[{"cath": "1.10.287.100", "res": "2.400"},{"cath": "1.20.5.420", "res": "2.400"}]
2LSE_A_A	2	2p10A	2	3	2LSE_A_A_merizo_01:2p10A01:0.56931,2LSE_A_A_merizo_02:2p10A02:0.54112	[{"cath": "3.20.20.70", "res": "2.150"},{"cath": "1.20.5.460", "res": "2.150"}]
2LSE_A_A	2	2qiwA	2	3	2LSE_A_A_merizo_01:2qiwA01:0.63344,2LSE_A_A_merizo_02:2qiwA02:0.5118	[{"cath": "3.20.20.60", "res": "1.800"},{"cath": "1.20.5.510", "res": "1.800"}]
2LSE_A_A	2	2r44A	3	0	2LSE_A_A_merizo_01:2r44A03:0.52334,2LSE_A_A_merizo_02:2r44A01:0.64501	[{"cath": "1.10.8.80", "res": "2.000"},{"cath": "1.20.5.420", "res": "2.000"}]
2LSE_A_A	2	2ra1A	2	3	2LSE_A_A_merizo_01:2ra1A02:0.56463,2LSE_A_A_merizo_02:2ra1A03:0.56593	[{"cath": "1.20.58.780", "res": "2.410"},{"cath": "1.20.58.770", "res": "2.410"}]
2LSE_A_A	2	3c8vA	4	1	2LSE_A_A_merizo_01:3c8vA01:0.61828,2LSE_A_A_merizo_02:3c8vA04:0.67111	[{"cath": "6.10.140.2050", "res": "2.280"},{"cath": "1.20.5.510", "res": "2.280"}]
2LSE_A_A	2	3g3zA	2	0	2LSE_A_A_merizo_01:3g3zA03:0.52753,2LSE_A_A_merizo_02:3g3zA01:0.59423	[{"cath": "6.10.250.820", "res": "2.100"},{"cath": "1.20.5.220", "res": "2.100"}]
2LSE_A_A	2	3gb8A	2	0	2LSE_A_A_merizo_01:3gb8A03:0.57701,2LSE_A_A_merizo_02:3gb8A01:0.67264	[{"cath": "6.10.250.450", "res": "2.900"},{"cath": "1.25.10.10", "res": "2.900"}]
2LSE_A_A	2	3nfqA	2	0	2LSE_A_A_merizo_01:3nfqA02:0.51988,2LSE_A_A_merizo_02:3nfqA01:0.50939	[{"cath": "1.20.930.10", "res": "1.850"},{"cath": "1.20.5.170", "res": "1.850"}]
2LSE_A_A	2	3o6qA	2	0	2LSE_A_A_merizo_01:3o6qA02:0.59299,2LSE_A_A_merizo_02:3o6qA01:0.50072	[{"cath": "3.30.70.2720", "res": "2.500"},{"cath": "1.20.5.460", "res": "2.500"}]
2LSE_A_A	2	4dckA	2	3	2LSE_A_A_merizo_01:4dckA01:0.56977,2LSE_A_A_merizo_02:4dckA02:0.54915	[{"cath": "1.10.238.10", "res": "2.200"},{"cath": "1.20.5.1190", "res": "2.200"}]
2LSE_A_A	2	4gczA	2	0	2LSE_A_A_merizo_01:4gczA03:0.62281,2LSE_A_A_merizo_02:4gczA02:0.52905	[{"cath": "1.10.287.130", "res": "2.300"},{"cath": "6.10.250.2580", "res": "2.300"}]
2LSE_A_A	2	4ifdK	2	0	2LSE_A_A_merizo_01:4ifdK02:0.54509,2LSE_A_A_merizo_02:4ifdK01:0.51712	[{"cath": "6.10.250.2660", "res": "2.810"},{"cath": "1.20.5.220", "res": "2.810"}]
3LTJ_A_A	2	2b6cA	2	3	3LTJ_A_A_merizo_01:2b6cA01:0.55072,3LTJ_A_A_merizo_02:2b6cA02:0.65189	[{"cath": "1.20.1660.10", "res": "2.100"},{"cath": "1.25.40.290", "res": "2.100"}]
3LTJ_A_A	2	2b6cA	2	0	3LTJ_A_A_merizo_01:2b6cA02:0.61961,3LTJ_A_A_merizo_02:2b6cA01:0.59235	[{"cath": "1.25.40.290", "res": "2.100"},{"cath": "1.20.1660.10", "res": "2.100"}]
